Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Cat L: Volatility,L1-VolRiskPremium,27.92%,1.32,1.95,-21.68%,1.29,20.15%,39.83%,191.49%,13.0
Cat L: Volatility,L2-VolSpreadHarvest,20.34%,1.28,1.86,-19.34%,1.05,15.41%,39.80%,123.55%,2.3
Cat L: Volatility,L3-VolTermStructure,26.10%,1.23,1.81,-21.09%,1.24,20.62%,38.84%,173.89%,16.1
Cat L: Volatility,L4-VolOfVolRegime,25.03%,1.21,1.77,-24.60%,1.02,20.19%,39.18%,163.93%,15.7
Cat L: Volatility,L5-VolSpikeRecovery,14.96%,1.35,2.03,-15.55%,0.96,10.75%,56.27%,83.24%,0.6
Cat L: Volatility,L6-CrossAssetVolSignal,33.70%,1.54,2.35,-17.97%,1.87,20.21%,38.89%,253.21%,15.0
Cat L: Volatility,L7-ImpliedRealizedSpread,2.29%,0.23,0.33,-24.83%,0.09,13.68%,44.79%,10.35%,8.1
Cat L: Volatility,L8-VolRegimeClustering,23.79%,1.16,1.69,-18.02%,1.32,20.09%,38.35%,152.81%,13.0
Cat M: Macro,M1-DollarCarry,8.17%,0.54,0.76,-24.15%,0.34,17.45%,37.95%,40.66%,7.1
Cat M: Macro,M2-GoldDollarInverse,30.02%,1.39,2.16,-20.95%,1.43,20.38%,37.65%,212.85%,12.7
Cat M: Macro,M3-EMRiskPremium,-1.78%,-0.10,-0.14,-24.39%,-0.07,11.36%,34.32%,-7.52%,11.9
Cat M: Macro,M4-CommodityMomentum,16.39%,0.86,1.27,-20.93%,0.78,19.92%,37.62%,93.39%,13.6
Cat M: Macro,M5-RatesRegimeTrade,20.74%,1.06,1.52,-22.99%,0.90,19.61%,39.03%,126.84%,12.2
Cat M: Macro,M7-GlobalRotation,12.68%,0.70,0.99,-20.80%,0.61,19.75%,38.66%,68.02%,16.3
Cat M: Macro,M8-CommodityMacroSignal,7.85%,0.51,0.73,-30.35%,0.26,18.08%,37.44%,38.86%,13.1
Cat M: Macro,M9-YieldCurveRegime,14.18%,0.79,1.14,-24.27%,0.58,19.18%,37.62%,77.92%,11.5
Cat N: Seasonal,N1-SeasonalStrategy,3.14%,0.26,0.36,-24.90%,0.13,18.40%,37.12%,14.36%,8.0
Cat N: Seasonal,N2-TurnOfMonth,-7.21%,-0.73,-0.93,-31.40%,-0.23,9.62%,33.56%,-27.74%,7.2
Cat N: Seasonal,N3-PreHolidayDrift,12.42%,1.24,2.02,-8.27%,1.50,9.81%,52.18%,66.34%,1.2
Cat O: Tail Risk,O1-TailRiskParity,21.23%,1.07,1.58,-24.61%,0.86,19.75%,38.33%,130.81%,16.8
Cat O: Tail Risk,O4-BlackSwanInsurance,3.42%,0.61,0.88,-7.00%,0.49,5.85%,54.13%,15.76%,0.3
Cat O: Tail Risk,O6-TailHedgeOverlay,1.70%,0.68,1.09,-2.66%,0.64,2.52%,53.37%,7.59%,1.8
Cat O: Tail Risk,O7-PreciousMetalsCrisisHedge,22.60%,1.29,1.87,-21.16%,1.07,16.84%,39.93%,142.38%,4.3
Cat O: Tail Risk,O8-VolatilityConvexity,0.00%,0.00,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.0
Cat P: ML Signal Combo,P1-FeatureComboSignal,21.34%,1.06,1.53,-22.12%,0.96,20.28%,37.77%,131.71%,13.9
Cat P: ML Signal Combo,P2-XGBoostSignalCombo,18.91%,0.97,1.43,-24.04%,0.79,19.79%,38.56%,112.26%,11.8
Cat P: ML Signal Combo,P3-GMMRegimeClassifier,9.17%,0.59,0.83,-23.85%,0.38,17.26%,38.12%,46.39%,9.0
Cat P: ML Signal Combo,P4-AdaptiveThreshold,23.11%,1.13,1.66,-20.77%,1.11,20.23%,38.01%,146.77%,13.5
Cat P: ML Signal Combo,P5-CrossSectionalRanker,12.60%,0.75,1.07,-21.92%,0.57,18.03%,53.44%,67.49%,10.4
