Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Cat N: Seasonal,N3-PreHolidayDrift,7.17%,0.68,1.00,-27.37%,0.26,11.15%,51.26%,330.19%,1.9
Cat O: Tail Risk,O1-TailRiskParity,16.26%,0.90,1.28,-32.91%,0.49,18.76%,42.75%,2289.05%,17.5
Cat O: Tail Risk,O2-CrisisAlphaMomentum,-1.07%,-0.35,-0.42,-24.90%,-0.04,2.91%,37.31%,-20.21%,2.0
Cat O: Tail Risk,O3-CrisisRotation,0.25%,0.07,0.10,-24.92%,0.01,6.58%,35.34%,5.46%,2.0
Cat O: Tail Risk,O4-BlackSwanInsurance,1.68%,0.28,0.41,-19.18%,0.09,6.80%,51.05%,41.95%,0.7
Cat O: Tail Risk,O5-VIXSpikeRecovery,0.23%,0.07,0.10,-24.52%,0.01,6.10%,34.71%,4.91%,0.4
Cat O: Tail Risk,O6-TailHedgeOverlay,0.57%,0.18,0.26,-15.55%,0.04,3.49%,50.96%,12.80%,2.1
Cat P: Signal Combo,P1-FeatureComboSignal,18.65%,0.97,1.39,-30.67%,0.61,19.56%,43.03%,3565.99%,13.9
Cat Q: Quality Trend,Q1-QualityTrend,14.32%,0.84,1.21,-36.75%,0.39,17.80%,42.82%,1576.53%,13.0
Cat Q: Quality Trend,Q2-MultiAssetTrend,15.26%,0.88,1.26,-33.85%,0.45,18.01%,43.65%,1891.47%,17.6
Cat Q: Quality Trend,Q3-MomentumCrashFilter,14.34%,0.83,1.19,-32.85%,0.44,18.14%,43.33%,1581.35%,13.7
Ensemble,Ensemble-BestOfEach,24.49%,1.31,1.90,-18.58%,1.32,17.93%,48.99%,9972.21%,17.5
