Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Cat N: Seasonal,N1-SeasonalStrategy,4.83%,0.35,0.49,-22.36%,0.22,18.62%,39.05%,13.97%,8.6
Cat N: Seasonal,N2-TurnOfMonth,2.12%,0.22,0.30,-23.93%,0.09,14.26%,40.47%,5.98%,5.6
Cat N: Seasonal,N3-PreHolidayDrift,-0.71%,-0.04,-0.06,-16.42%,-0.04,8.64%,43.59%,-1.96%,1.2
Cat O: Tail Risk,O1-TailRiskParity,-7.78%,-0.38,-0.51,-32.91%,-0.24,17.43%,34.30%,-20.12%,16.4
Cat O: Tail Risk,O2-CrisisAlphaMomentum,-3.19%,-0.31,-0.41,-23.41%,-0.14,9.01%,28.36%,-8.61%,1.7
Cat O: Tail Risk,O3-CrisisRotation,-4.45%,-0.49,-0.62,-23.31%,-0.19,8.61%,24.05%,-11.87%,1.3
Cat O: Tail Risk,O4-BlackSwanInsurance,0.61%,0.14,0.20,-8.19%,0.07,5.15%,50.88%,1.71%,0.1
Cat O: Tail Risk,O5-VIXSpikeRecovery,-1.75%,-0.37,-0.43,-8.00%,-0.22,4.46%,25.00%,-4.78%,0.2
Cat O: Tail Risk,O6-TailHedgeOverlay,0.27%,0.13,0.18,-4.70%,0.06,2.32%,50.19%,0.76%,1.8
Cat P: Signal Combo,P1-FeatureComboSignal,-1.97%,-0.04,-0.05,-23.54%,-0.08,16.70%,37.94%,-5.37%,12.8
Cat Q: Quality Trend,Q1-QualityTrend,3.23%,0.26,0.38,-30.63%,0.11,18.44%,36.23%,9.22%,9.0
Cat Q: Quality Trend,Q2-MultiAssetTrend,-2.99%,-0.19,-0.25,-23.19%,-0.13,12.08%,42.28%,-8.08%,13.0
Cat Q: Quality Trend,Q3-MomentumCrashFilter,-5.39%,-0.30,-0.40,-24.41%,-0.22,14.82%,37.59%,-14.25%,11.6
Ensemble,Ensemble-BestOfEach,5.54%,0.43,0.60,-18.67%,0.30,15.40%,44.25%,16.12%,15.9
