Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Cat M: Macro,M2-GoldDollarInverse,30.02%,1.39,2.16,-20.95%,1.43,20.38%,37.65%,212.85%,12.7
Cat M: Macro,M3-EMRiskPremium,-4.66%,-0.46,-0.64,-24.64%,-0.19,9.33%,31.37%,-18.74%,9.7
Cat M: Macro,M4-CommodityMomentum,16.39%,0.86,1.27,-20.93%,0.78,19.92%,37.62%,93.39%,13.6
Cat M: Macro,M5-RatesRegimeTrade,20.74%,1.06,1.52,-22.99%,0.90,19.61%,39.03%,126.84%,12.2
Cat N: Seasonal,N1-SeasonalStrategy,3.14%,0.26,0.36,-24.90%,0.13,18.40%,37.12%,14.36%,8.0
Cat N: Seasonal,N2-TurnOfMonth,-7.21%,-0.73,-0.93,-31.40%,-0.23,9.62%,33.56%,-27.74%,7.2
Cat N: Seasonal,N3-PreHolidayDrift,12.42%,1.24,2.02,-8.27%,1.50,9.81%,52.18%,66.34%,1.2
Cat O: Tail Risk,O1-TailRiskParity,21.23%,1.07,1.58,-24.61%,0.86,19.75%,38.33%,130.81%,16.8
Cat O: Tail Risk,O2-CrisisAlphaMomentum,8.47%,0.85,1.41,-11.46%,0.74,10.21%,30.82%,42.37%,2.0
Cat O: Tail Risk,O3-CrisisRotation,10.95%,1.14,2.08,-7.84%,1.40,9.51%,34.34%,57.07%,2.0
Cat O: Tail Risk,O4-BlackSwanInsurance,3.42%,0.61,0.88,-7.00%,0.49,5.85%,54.13%,15.76%,0.3
Cat O: Tail Risk,O5-VIXSpikeRecovery,3.79%,0.84,2.75,-4.03%,0.94,4.55%,47.37%,17.56%,0.2
Cat O: Tail Risk,O6-TailHedgeOverlay,1.70%,0.68,1.09,-2.66%,0.64,2.52%,53.37%,7.59%,1.8
Cat P: Signal Combo,P1-FeatureComboSignal,27.19%,1.28,1.89,-20.85%,1.30,20.39%,39.83%,184.35%,13.8
Cat Q: Quality Trend,Q1-QualityTrend,16.74%,0.88,1.25,-24.06%,0.70,19.88%,38.35%,95.91%,11.7
Cat Q: Quality Trend,Q2-MultiAssetTrend,14.23%,0.81,1.17,-24.37%,0.58,18.61%,38.82%,78.24%,15.6
Cat Q: Quality Trend,Q3-MomentumCrashFilter,24.94%,1.21,1.78,-24.44%,1.02,20.00%,39.94%,163.18%,12.6
Ensemble,Ensemble-BestOfEach,30.65%,1.49,2.21,-18.42%,1.66,19.17%,47.12%,219.54%,17.5
