Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Cat M: Macro,M2-GoldDollarInverse,4.95%,0.33,0.47,-17.01%,0.29,21.20%,50.60%,4.95%,13.7
Cat M: Macro,M3-EMRiskPremium,32.96%,1.63,2.51,-9.36%,3.52,18.52%,55.78%,32.96%,12.2
Cat M: Macro,M4-CommodityMomentum,20.94%,1.08,1.65,-12.07%,1.74,19.30%,54.18%,20.94%,11.2
Cat M: Macro,M5-RatesRegimeTrade,4.08%,0.30,0.42,-20.24%,0.20,20.20%,51.39%,4.08%,13.8
Cat N: Seasonal,N1-SeasonalStrategy,51.32%,2.15,3.34,-8.23%,6.24,20.28%,56.57%,51.32%,12.4
Cat N: Seasonal,N2-TurnOfMonth,24.66%,1.22,1.82,-14.08%,1.75,19.60%,54.58%,24.66%,9.1
Cat N: Seasonal,N3-PreHolidayDrift,-5.55%,-0.79,-1.11,-9.39%,-0.59,6.92%,22.22%,-5.55%,1.0
Cat O: Tail Risk,O1-TailRiskParity,-0.79%,0.05,0.06,-15.47%,-0.05,18.24%,56.02%,-0.79%,13.5
Cat O: Tail Risk,O2-CrisisAlphaMomentum,-15.27%,-1.01,-1.31,-15.27%,-1.00,15.22%,40.70%,-15.27%,5.5
Cat O: Tail Risk,O3-CrisisRotation,-0.77%,0.03,0.05,-18.37%,-0.04,16.24%,45.35%,-0.77%,5.7
Cat O: Tail Risk,O4-BlackSwanInsurance,3.96%,0.35,0.52,-10.84%,0.36,13.55%,52.99%,3.96%,5.6
Cat O: Tail Risk,O5-VIXSpikeRecovery,-10.54%,-1.62,-1.62,-10.54%,-1.00,6.72%,0.00%,-10.54%,0.4
Cat O: Tail Risk,O6-TailHedgeOverlay,3.86%,0.56,0.80,-3.69%,1.04,7.23%,52.99%,3.86%,3.8
Cat P: Signal Combo,P1-FeatureComboSignal,17.89%,0.94,1.37,-14.10%,1.27,19.47%,51.74%,17.89%,13.5
Cat Q: Quality Trend,Q1-QualityTrend,14.65%,0.83,1.21,-21.42%,0.68,18.49%,51.39%,14.65%,6.1
Cat Q: Quality Trend,Q2-MultiAssetTrend,8.32%,0.76,1.19,-10.64%,0.78,11.36%,54.80%,8.32%,4.3
Cat Q: Quality Trend,Q3-MomentumCrashFilter,-19.38%,-1.04,-1.36,-24.01%,-0.81,18.99%,47.23%,-19.38%,12.9
Ensemble,Ensemble-BestOfEach,15.34%,0.87,1.21,-11.05%,1.39,18.35%,55.78%,15.34%,15.9
